Price,Area,Address,Number of bedrooms,Number of bathrooms,Number of floors,Amenities,Street name,Ward name,District name,Number of frontages,Alley or main road,Listing ID
2.650 tỷ,60m2 (4x15),"phường An Lạc A, quận Bình Tân",4,3,2,"Gần với cửa hàng thời trang Sam Clo, gần cửa hàng Viettle, gần với cửa hàng giày dép MWC, gần với Salon Nguyễn Cường, cách mặt đường Lê Văn Quới tầm 300m, nằm gần chợ, xung quanh kinh doanh buôn bán sầm uất, các dịch vụ tiện ích xung quanh như của hàng tiện lợi, gần bách hóa xanh, các cửa hàng buôn bán thời trang và các dịch vụ chăm sóc sức khỏe và làm đẹp",đường số 18,An Lạc A,Bình Tân,1,ngoài lộ,254995
350 Triệu,43 m2 (tổng sàn 70m2),Khu Dân Cư Đông Đúc,2,2,Not mentioned,"1 Sân Xe, 1 Phòng Thờ, 1 Phòng Khách, 1 Phòng Bếp",Not mentioned,Not mentioned,Not mentioned,5m,Main road,254939
2.650 tỷ,60m2 (4x15),"704 Hương Lộ 2, phường Bình Trị Đông A, quận Bình Tân",4,3,1 trệt 2 lầu,"gần phòng khám mắt Quang Long, gần phòng khám nhi bác sĩ Tùng, gần sân bóng mini Hương Lộ 2, gần cửa hàng trang trí nội thất Anh Thơ, gần trường mần non Ong Vàng, gần cửa hàng điện máy xanh, gần chợ, các dịch vụ tiện ích xung quanh như cửa hàng tiện lợi, bách hóa xanh, các cửa hàng buôn bán thời trang và các dịch vụ chăm sóc sức khỏe và làm đẹp",Hương Lộ 2,Bình Trị Đông A,Bình Tân,không có thông tin cụ thể,nhà trong hẻm,254993
1.55 tỷ,38.5m2 (3.5x11),"Cần bán căn nhà hẻm đường Phạm Hữu Lầu, P.Phú Mỹ, Quận 7",2,2,2,"gần trung tâm dạy nghề, ngân hàng, các cửa hàng tiện lợi,...",Phạm Hữu Lầu,Phú Mỹ,Quận 7,Not mentioned,Hẻm,254991
1.75 tỷ,48m2 (4x12),"Huỳnh Tấn Phát, Phú Thuận, Quận 7",2,2,2,"Gần chợ, ngân hàng, trường học, UBND, cửa hàng tiện lợi",Huỳnh Tấn Phát,Phú Thuận,Quận 7,Not mentioned,House is in an alley,254990
7.9 tỷ VND,75m2 (4.6x17m),"Huỳnh Văn Bánh Phường 13, Phú Nhuận",3,2,2,"PK, bếp, sân để xe",Huỳnh Văn Bánh,Phường 13,Phú Nhuận,4.6m,Ngoài lộ,254984
7 tỷ,41m2,"Lý Thái Tổ, Phường 10, Quận 10",3,2,3,"Hẻm thông thoáng, đầy đủ tiện ích, 3 bước ra tới chợ",Lý Thái Tổ,Phường 10,Quận 10,10m,Nhà trong hẻm,254980
7 tỷ VND,3.5 x 11m2,"Hẻm xe hơi, thông tứ tung, gần chợ hoa Hồ Thị Kỷ, Quận 5",2,2,"1 trệt, 1 lầu","Kinh doanh sầm uất, tiện ích quá đầy đủ",Trần Bình Trọng,Not mentioned,Quận 5,Not mentioned,Hẻm xe hơi,254955
2.150 tỷ VND,48m2,"130 Phú Định, Phường 16, Quận 8",4,3,2,"Nhà thuốc Nhật An 6, cửa hàng quần áo Hằng, cửa hàng điện lạnh Hưng Phát, chợ Phú Định, các dịch vụ tiện ích xung quanh như các cửa hàng tiện lợi, bách hóa xanh, các cửa hàng buôn bán thời trang, dịch vụ chăm sóc sức khỏe và làm đẹp",Phú Định,Phường 16,Quận 8,1,nhà trong hẻm,254952
7.4 tỷ VND,62m2 (4m x 16m),"Trung tâm Quận 5, Phan Văn Trị",3,2,"2 (1 trệt, 1 lửng)","Cực đỉnh, tiện ích quá đầy đủ",Phan Văn Trị,Not mentioned,Quận 5,Not mentioned,"Hẻm ba gác 1 trục, không lộ giới",254938
10 tỷ,120m (6x20m),"Mặt tiền Đường số 7 (nối dài Trần Văn Giàu), Bình Trị Đông B, Quận Bình Tân",Not specified,Not specified,Not specified,"Giao thông thuận tiện, Đắc địa, Khu sầm uất, Tiện trao đổi mua bán",Trần Văn Giàu,Bình Trị Đông B,Quận Bình Tân,6,Ngoài lộ,254922
3 tỷ VND,88 m2,"Tân Thới Hiệp, Quận 12",Not mentioned,Not mentioned,2,"Cao cấp, trường học, chợ, siêu thị, cơ quan hành chính",Not mentioned,Tân Thới Hiệp,Quận 12,Not mentioned,Not mentioned,254919
3 tỷ 1 (3.1 billion VND),90 m2,"Kế mặt tiền Hiệp Thành 17, Quận 12",Not specified,Not specified,Not specified,"Sung túc, trường học các cấp, chợ, siêu thị, cơ quan hành chính quận, ngân hàng",Hiệp Thành 17,Not specified,Quận 12,Not specified,Nhà hẻm thông (House in an alley),254916
1 tỷ 750,41.8m2,"nhà hẻm 177 đường Nơ Trang Long, phường 11, Bình Thạnh",2,2,1 trệt 1lầu,"gần trung tâm y tế, siêu thị, ngân hàng",Nơ Trang Long,phường 11,Bình Thạnh,3.8x11,nhà trong hẻm,254915
1.6 tỷ VND,30m2 (ngang 3 dài 10m),"320 đường Bông Sao, phường 5, quận 8",2,2,1 trệt 1 lầu,"Hẻm rộng rãi, sạch sẽ, camera giám sát",Bông Sao,Phường 5,Quận 8,Not mentioned,Nhà trong hẻm,254910
6 tỷ VND,5m x độ dài không rõ,"Lê Văn Sỹ, khu vực gần Huỳnh Văn Bánh, Trần Quang Diệu, chợ Phạm Văn Hai, Hoàng Sa, Trường Sa",3,không rõ,không rõ,"Hẻm xe hơi, sạch sẽ, dân trí cao",Lê Văn Sỹ,không rõ,không rõ,5m,nhà trong hẻm,254909
5 tỷ 650 triệu VND,50m,Phạm Văn Chiêu,Not specified,Not specified,4,"trường học, siêu thị, khu vui chơi",Phạm Văn Chiêu,Not specified,Not specified,Not specified,Not specified,254902
5 tỷ 350 triệu VND,44 m2 (4x11m),Lê Văn Thọ (Vị trí chung),3,3,3,"Nội thất sang trọng, không lỗi phong thủy, hàng xóm thân thiện",Lê Văn Thọ,Không rõ,Không rõ,Không rõ,Nhà trong hẻm,254896
3 tỷ 8 triệu,36m ngang 4m,"Vị trí gần trường Thông Tây Hội, Phan Chu Trinh, Nguyễn Du...",Not provided in the listing,Not provided in the listing,2,Tiện ích xung quanh đầy đủ,Thống Nhất,Not provided in the listing,Not provided in the listing,Not provided in the listing,Ngoài lộ,254895
5.5 tỷ,65m2,Bình Tân - Huỳnh Lộ 2,5,Not mentioned,3,"Sổ nở hậu, ô tô nằm trong nhà, hẻm 8m, tiện ích xung quanh đầy đủ",Huỳnh Lộ 2,Not mentioned,Bình Tân,Not mentioned,Hẻm,254887
Not specified,3.5m x 11m,"Nhà Nguyễn Văn Nghi, Phường 7, Gò Vấp",3,3,"1 trệt, 1 lửng, 1 lầu","HXT, an ninh sạch sẽ, Ngay sát PCC số 5, gần chợ Gò Vấp, Vị trí gần trường học, công an, phường xã, siêu thị kế bên",Nguyễn Văn Nghi,Phường 7,Gò Vấp,Not specified,Nhà trong hẻm,254937
1.9 tỷ,40m2 (4x10),"nhà hẻm Lâm Văn Bền, phường Bình Thuận, Quận 7",2,2,"1 trệt, 1 lầu","gần trường tiểu học Nguyễn Thị Định, cửa hàng tiện lợi, bưu cục quận 7",Lâm Văn Bền,Bình Thuận,Quận 7,Not mentioned,Alley,254873
1.7 tỷ,38.5m2 (3.5x11m),"nhà đường Lâm Văn Bền, phường Bình Thuận, Quận 7",2,2,2,"gần trường tiểu học Nguyễn Thị Định, cửa hàng tiện lợi, bưu cục quận 7",Lâm Văn Bền,Bình Thuận,Quận 7,Not mentioned,hẻm,254936
1.7 tỷ VND,38.5m2 (3.5x11m),"nhà đường Lâm Văn Bền, phường Bình Thuận, Quận 7",2,2,"2 (1 trệt, 1 lầu)","gần trường tiểu học Nguyễn Thị Định, cửa hàng tiện lợi, bưu cục quận 7",Lâm Văn Bền,Bình Thuận,Quận 7,Not specified,Hẻm,254935
1.75 tỷ,35.2m2 (ngang 3.2 dài 11),"hẻm 304 đường Trường Chinh, phường 13, Tân Bình",2,2,Not mentioned,"Near supermarket Concung, bank, spa, many companies, offices, restaurants, etc.",Trường Chinh,Phường 13,Tân Bình,Not mentioned,Nhà trong hẻm,254933
1.95 tỷ,45.6m2 (3.8x12),"nhà hẻm đường Phạm Hữu Lầu, phường Phú Mỹ, Quận 7",2,2,"1 trệt, 1 lầu","gần trung tâm dạy nghề, ngân hàng, các cửa hàng tiện lợi,...",Phạm Hữu Lầu,Phú Mỹ,Quận 7,Not mentioned,Nhà trong hẻm,254932
10.5 tỷ VND,72m2,Lê Văn Sỹ Phường 13 Q. Phú Nhuận,Not specified,Not specified,2,"Xe hơi vào nhà thoải mái, thuộc khu thịnh vượng ngay nhà thờ Ba Chuông, nhà nát tiện xây mới",Lê Văn Sỹ,Phường 13,Quận Phú Nhuận,Not specified,Hẻm xe hơi,254931
14 tỷ,"85,6m2 ( 6m x 14,4m ), diện tích sàn 236m2","Đường số 20, P. Hiệp Bình Chánh TP Thủ Đức - Sau Gigamall , cách Phạm Văn Đồng 200m , cách đường 20 khoảng 30m",4,4,1 trệt 3 lầu ( sân thượng ),hẻm xe hơi 8m,Đường số 20,Hiệp Bình Chánh,Thủ Đức,24m,Nhà trong hẻm,254930
Giá không được cung cấp trong nội dung,16m x 4m (64 m2),"Hxh 4x16 Hoàng Hoa Thám, P5, Bình Thạnh, TT BÌNH THẠNH",7,5,4,"Nhà mới, trệt, 2 lầu, hẻm đẹp, vị trí đẹp, nhà thoáng",Hoàng Hoa Thám,P5,Bình Thạnh,Không được cung cấp,Nhà trong hẻm,254923
5.65 tỷ VND,75m2,"Nguyễn Văn Lượng, Gò Vấp",3,Not specified,2,"Hẻm trước nhà cực rộng, sạch sẽ đẹp đẽ",Nguyễn Văn Lượng,Not specified,Gò Vấp,Not specified,Nhà trong hẻm,254872
8.7 tỷ VND,78m2,Mặt tiền kinh doanh - Giao An Dương Vương Kế bên Bến Xe Miền Tây,6,7,1 trệt 1 lững 2 lầu 2 sân thượng,"nhà mặt tiền kinh doanh, hẻm hông nhỏ, phòng thờ",An Dương Vương,Not mentioned,Quận 6,Not mentioned,Nhà trong hẻm,254844
Not provided in the text,100m2 (4x25),"100m2 mặt tiền + 413/38 lê văn quới, bình trị đông, bình tân",10,10,6,"Thích hợp kinh doanh, văn phòng, mở phòng mạch, khách sạn, xe hơi đậu trong nhà, sổ hồng, gpxd đầy đủ",Lê văn quới,Bình trị đông,Bình tân,100m2,Hẻm lê văn quới,254840
1.65 tỷ VND,33m2 (3x11),"258 đường Bông Sao, Phường 5, quận 8",2,2,1 trệt 1 lầu,"tiệm cận với công viên, chùa Linh Bửu, trường tiểu học Hoàng Minh Đạo, nhiều công ty văn phòng",Bông Sao,Phường 5,Quận 8,Not mentioned,Nhà trong hẻm,254820
1.55 tỷ,40m2 (4 x 10m),"Đường Tạ Quang Bửu, Phường 3, Quận 8",2,2,1 trệt 1 lầu,"An ninh, gần chợ trường học bệnh viện, ủy ban công an",Tạ Quang Bửu,Phường 3,Quận 8,Not mentioned,Nhà trong hẻm,254815
3 tỷ VND,Not specified in the provided information,Not specified in the provided information,2,3,4,Not specified in the provided information,Not specified in the provided information,Not specified in the provided information,Not specified in the provided information,Not specified in the provided information,Hẻm xe hơi,254814
"6,450,000,000 VND","52m2 (land area), 168m2 (floor area)","Đường Số 29, Bình Trị Đông B, Bình Tân, Ho Chi Minh City",4,Not specified,"3 (1 ground floor, 2 upper floors, and a rooftop)","Near AEON Bình Tân supermarket, secure area, full amenities",Đường Số 29,Bình Trị Đông B,Bình Tân,3.8m,Alley,254813
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,254811
1.5 tỷ,44 m2,"Đường CMT8, Phường 12, Quận 10",Not mentioned,Not mentioned,2,"An ninh, dân trí",Cách mạng tháng 8,Phường 12,Quận 10,Not mentioned,Hẻm,254805
3 tỷ VND,55m2 (6m x 9m),"Kha Vạn Cân, Linh Đông, Thủ Đức",Not specified,Not specified,2,"Near Chợ Thủ Đức, ĐH Ngân Hàng, CĐ Công Nghệ...Gần các phường Trường Thọ, Hiệp Bình Chánh, Tam Phú, Linh Tây...",Kha Vạn Cân,Linh Đông,Thủ Đức,5m,Nhà trong hẻm,254804
5 tỷ 650 triệu VND,60m2,Khu Đồng Bộ Phạm Văn Chiêu,Not specified,Not specified,4,"Sổ hồng pháp lý mua bán trao tay, gara để xe hơi riêng",Phạm Văn Chiêu,Not specified,Not specified,Not specified,Nhà trong hẻm,254791
"9,3 tỷ VND",Not explicitly mentioned in the text,"Phan Chu Trinh Street, Binh Thanh District, Ho Chi Minh City",5,5,3,"Ngang bề thế, hẻm thông, trung tâm",Phan Chu Trinh,Not explicitly mentioned in the text,Binh Thanh,6,Hẻm,254871
"9,72 tỷ VND",135 m2,"Phường 25 Bình Thạnh, Xô Viết Nghệ tĩnh, thông D2 Nguyễn Gia Trí, ngay Hàng Xanh, Bình Thạnh, Hồ Chí Minh City",Not mentioned,Not mentioned,Not mentioned,"Khu toàn nhà cao tầng, biệt thự, xây CHDV thắng lớn, Hẻm xe hơi 7 chỗ vào nhà, 50m ra mặt tiền Điện Biên Phủ, Sổ sạch, pháp lý Chuẩn, công chứng trong ngày",Điện Biên Phủ,Phường 25 Bình Thạnh,Bình Thạnh,Not mentioned,Nhà trong hẻm,254787
6 tỷ VND,Not specified,"HXH 5m Gò Xoài, Bình Tân",4,5,4,"Near supermarket, shopping center, school, pharmacy,...",Gò Xoài,Not specified,Bình Tân,Not specified,Not specified,254870
6 triệu/tháng,40m2 (4 x 10),Khu vực gần chợ Tân Hoà Đông,3,2,"1 trệt, 1 lửng, 1 lầu","Gần trường Mạc Đĩnh Chi, Co.op Mart Phú Lâm, khu vực sầm uất ngày đêm",Tân Hòa Đông,Not mentioned,Not mentioned,1,Nhà trong hẻm,254867
"4,8 tỷ VND",Not specified in the text,"Nguyễn Thị Kiểu, Hiệp Thành, Quận 12",Not specified in the text,Not specified in the text,3,"Metro Hiệp Phú, trường học Lê Văn Thọ, cầu vượt Tân Thới Hiệp, Gò Vấp",Nguyễn Thị Kiểu,Hiệp Thành,Quận 12,Not specified in the text,Not specified in the text,254858
8 tỷ VND,4 x 14,"Võ Trường Toản, Hồng Bàng",5,Not specified,4,"Pháp lý chuẩn, hoàn công đủ, sổ nở hậu",Võ Trường Toản,Not specified,Hồng Bàng,20m,Nhà trong hẻm,254857
2.150 tỷ,48m2,"Đường số 8, phường 6, quận 8",4,3,2,"gần trường mần non Bông Sen, gần trường Tiểu học Nguyễn Công Trứ, gần trường THCS Bình Đông, gần chợ Phú Định, các dịch vụ tiện ích xung quanh như của hàng tiện lợi, gần bách hóa xanh, các của hàng buôn bán thời trang và các dịch vụ chăm sóc sức khỏe và làm đẹp",Đường số 8,Phường 6,Quận 8,Not mentioned,Not mentioned,254855
660 Triệu,50 m2,"Khu phố an ninh, dân trí cao, nhà nhiều hẻm đi vào",2,Not specified,1,"1 trệt + 1lầu, 2 Pn + Pk khu bếp, giếng trời thoáng mát, nhà đúc BTCT các phòng đều có cửa sổ thông thoáng, nhà như mới tinh vuông vức đẹp",Not specified,Not specified,Not specified,Not specified,Nhà HXH thông nhiều hướng,254853
1.8 tỷ,36m2 (4x9m),"hẻm 324 đường Hoàng Văn Thụ, phường 4, quận Tân Binh",2,Not mentioned,1 trệt 1 lầu,"Bán kinh 1km xung quanh nhà: siêu thị coopmart, trưởng mầm non, ngân hàng, nhiều quán ăn, công ty văn phòng,…",Hoàng Văn Thụ,Phường 4,Quận Tân Binh,Not mentioned,Hẻm,254852
3.2 tỷ VND,40 m2,"Lê Văn Thọ, Gò Vấp, Hồ Chí Minh",3,2,2,"xây kiên cố cực, gần Lê Văn Thọ, Công Viên Làng Hoa, gần Trường THCS Nguyễn Du, hẻm sạch sẽ an ninh",Lê Văn Thọ,Gò Vấp,Gò Vấp,1,nhà trong hẻm,254776
6 tỷ VND,5x11m,"Lê Văn Sỹ, ngang 5, hẻm xe hơi, gần mặt tiền",3,Not specified,Not specified,"Near Huỳnh Văn Bánh, Phạm Văn Hai market, supermarket, school",Lê Văn Sỹ,Not specified,Not specified,1,Alley,254742
6 tỷ 5,Diện tích lớn,Nhà mặt tiền Trần Thị Bảy-Quận 12-Đối diện chợ Hiệp Thành,3,Not mentioned,2,"Ban công đón gió thoáng mát, Sổ hồng riêng mua bán công chứng ngay",Trần Thị Bảy,Not mentioned,Quận 12,1,Ngoài lộ,254736
"14,8 tỷ VND","5x22m, 105m2",Đường số 9 - P.9 - Gò Vấp - HCM,4,5,3,"thang máy, gara để xe, bếp, phòng khách, phòng karraoke, phòng xông hơi spa, sân thượng, phòng giặt, thang máy kính, hệ thống công tác smart home, camera an ninh",Nguyễn Văn Khôi,Phường 9,Quận Gò Vấp,6m,nhà trong hẻm,254735
"10,5 tỷ VND","5,7x19 m2","Bạch Đằng, Bình Thạnh",5,5,3,"nhà kiên cố, hẻm thông xe hơi, trung tâm",Bạch Đằng,Bình Thạnh,Bình Thạnh,6m,nhà trong hẻm,254734
Not mentioned,72m2,"Near Coop Mart, Trung My Tay Street, close to Hà Đặc",4,Not mentioned,2 floors and 1 tum (attic),"New house, solar water heater, near market, Coop Mart supermarket, college and university system, cultural house, banks. Excellent amenities.",Trung My Tay,Not mentioned,Not mentioned,Not mentioned,Main road,254730
"3,650,000,000 VND",36 m²,Phạm Văn Chiêu,Not mentioned,Not mentioned,2,None mentioned,Phạm Văn Chiêu,Not mentioned,Not mentioned,Not mentioned,The house is located in a wide alley,254726
5 tỷ,Ngang hơn 5m,P15 Điện Biên Phủ Bình Thạnh,3,3,"1 trệt, 1 lửng, 1 lầu","Khu sầm uất các trường Đại học Hồng Bàng, Hutech, tiện ích xung quanh không thiếu thứ gì, gần ngã tư Hàng Xanh, 1 bước qua trung tâm Quận 1, quận 3, Phú nhuận",Điện Biên Phủ,Phường 15,Quận Bình Thạnh,Chưa tới 70tr,Nhà trong hẻm,254724
5 ty (thương lượng),4x9,Tân Phú,3,3,3,"nội thất, 6 camera, đèn, cửa quốn tự động điều khiển từ xa",Nguyễn Sơn,Not mentioned,Not mentioned,Not mentioned,hẻm,254723
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,254721
5.7 tỷ VND,Not specified in the text,"Lạc Long Quân, P.10, Tân Bình",2,Not specified in the text,2 (1 trệt 1 lầu),Tiện ích xung quanh đầy đủ,Lạc Long Quân,P.10,Tân Bình,5m,Nhà trong hẻm (Cách mặt tiền Lạc Long Quân hơn 50m),254719
4.3 tỷ VND,"84m2, 4.5x16","Huỳnh Tấn Phát, Khu phố 4, Phường Tân Phú, Quận 7",4,2,Not mentioned,"Sân trước, phòng khách, bếp rộng rãi, 1PN dưới trầng trệt, 3 PN, 1PT, 1 phòng kho chứa đồ",Huỳnh Tấn Phát,Phường Tân Phú,Quận 7,Not mentioned,Hẻm,254775
1.65 tỷ VND,35m2 (ngang 3.5 dài 10m),"hẻm 154 đường Âu Dương Lân, phường 3, quận 8",2,2,1,"Gần trường mầm non Bình Minh, nhà thuốc An Khang, bách hóa xanh, quán ăn, công ty,...",Âu Dương Lân,phường 3,quận 8,3.5m,nhà trong hẻm,254717
3 tỷ 950 triệu,40m,Nguyễn Văn Công,Not specified,Not specified,4,Hẻm xe hơi kề bên,Nguyễn Văn Công,Not specified,Not specified,Not specified,Nhà trong hẻm,254768
5 tỷ 7,46 m2,"Nguyễn Văn Khối p11, kế bên là CoopMart và gần bệnh viện Hồng Đức",3,Not specified,2,"Giếng trời, bếp rộng rãi, thông ra Thống Nhất",Nguyễn Văn Khối,Not specified,Not specified,5m,Hẻm,254765
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,254763
2.550 tỷ,4x15 (60m2),"Đường Đoàn Phú Tử, phường An Lạc A, quận Bình Tân",4,3,1 trệt 2 lầu,"Nằm gần chợ, xung quanh kinh doanh buôn bán sầm uất, các dịch vụ tiện ích xung quanh như của hàng tiện lợi, gần bách hóa xanh, các của hàng buôn bán thời trang và các dịch vụ chăm sóc sức khỏe và làm đẹp",Đoàn Phú Tử,An Lạc A,Bình Tân,Not mentioned,Not mentioned,254753
"3,3 tỷ VND",50m2,"Hẻm 290 Nam Kỳ Khởi Nghĩa, Quận 3",Not mentioned,Not mentioned,Not mentioned,Not mentioned,Nam Kỳ Khởi Nghĩa,Not mentioned,Quận 3,4m,Nhà trong hẻm,254751
4.7 tỷ VND,83m2 (5x16.5),"Đường Dương Đình Hội, P.Tăng Nhơn Phú B",4,4,3,"Hẻm oto cách 10m, Pháp lý chuẩn, sổ hồng riêng, công chứng ngay",Đường Dương Đình Hội,Tăng Nhơn Phú B,TP.HCM,Not mentioned,Alley,254749
2 tỷ VND,"25,6m2","Bình Tân, giáp Tân Phú",Not specified,Not specified,Not specified,"Near Bình Long, Nguyễn Sơn, Kênh Nước Đen, Ngã 4 Bốn Xã, easy transportation, complete amenities",Not specified,Not specified,Bình Tân,2,Alley,254748
Thương lượng SÂU,Ngang lớn 6m vuông vức,"Hẻm 5m, Tân Phú Trịnh Đình Trọng",Not mentioned,Not mentioned,3 tầng BTCT,"Gần trường học, nhà thờ Phú Bình, chợ",Tân Phú Trịnh Đình Trọng,Not mentioned,Not mentioned,Sát mặt tiền,Hẻm,254715
12 tỷ 990 TL,65m2,ngay mặt tiền đường ngay chợ Tân Hòa Đông P14Q6,Not mentioned,Not mentioned,"1 trệt, 1 lửng, 2 lầu","Bến xe Miền Tây, Siêu thị Coop Phú Lâm, chợ Phú Lâm, Aeon Mall Bình Tân",Tân Hòa Đông,Not mentioned,Not mentioned,4.7,Ngoài lộ,254669
